DATE,Price
2022-06-01,31104.616840277733
2022-12-27,16818.979652777758
2023-03-01,23605.436284722244
2023-05-11,27318.833472222224
2022-05-17,30296.628368055524
2022-09-23,19077.763229166605
2023-08-18,26331.242326388874
2022-10-30,20719.489861111117
2022-12-21,16860.571249999997
2022-05-03,38309.08454861118
2022-03-11,39021.929409722165
2022-03-07,38355.40256944443
2022-12-31,16578.080451388905
2022-12-03,16991.051215277766
2022-11-20,16621.607430555563
2022-08-24,21491.839930555612
2023-02-27,23466.003472222237
2023-02-16,24622.594201388903
2023-09-27,26325.385416666573
2022-08-26,21202.884479166645
2022-05-10,31374.697916666562
2022-08-17,23736.18284722221
2023-05-24,26654.15711805552
2023-06-08,26501.431527777768
2022-10-23,19269.668506944457
2022-07-20,23578.471076388843
2022-08-13,24555.624270833316
2023-05-22,26843.586597222235
2023-07-05,30632.187604166633
2022-11-25,16513.85906249999
2022-11-28,16231.7070833333
2023-05-26,26605.414687499953
2023-07-02,30580.837847222258
2022-10-27,20632.99027777781
2022-02-07,43164.6252083332
2022-06-14,22190.004444444476
2022-09-06,19625.60906250006
2022-06-03,30014.967847222153
2022-05-30,30614.30243055564
2022-01-26,37561.80159722214
2022-09-10,21391.935208333303
2022-11-02,20419.27989583325
2023-03-08,22068.441840277766
2023-09-15,26509.87329861111
2023-02-12,21876.296111111096
2023-09-06,25731.284965277788
2022-05-24,29315.871388888845
2023-06-14,25854.943541666642
2023-02-22,24035.229722222193
2022-09-20,19201.82833333337
2022-03-25,44274.396006944466
2022-09-26,19026.303506944503
2022-11-30,16906.37045138893
2023-05-19,26893.65263888886
2022-02-27,38787.24638888891
2023-08-26,26049.881215277826
2022-07-17,21237.476875000062
2022-07-02,19247.55270833328
2023-07-31,29344.454826388897
2023-10-06,27722.221805555528
2022-09-11,21608.19868055559
2023-06-29,30434.733090277747
2022-12-13,17472.850486111096
2022-08-03,23203.82486111107
2023-04-08,28025.325763888864
2022-10-22,19183.048750000013
2022-02-16,44074.5427430555
2023-01-01,16565.873611111117
2022-01-17,42608.77694444446
2022-08-31,20219.937881944486
2022-10-09,19457.162187499976
2022-09-13,21553.461006944457
2023-08-20,26148.770902777826
2022-06-21,21017.70850694447
2023-07-10,30287.23611111113
2023-01-16,21048.866006944463
2022-04-26,39684.3492013889
2023-02-09,22566.808750000007
2023-05-28,27331.687777777763
2023-10-17,28404.14031250005
2022-06-06,31236.292500000043
2023-09-21,26791.840104166782
2022-09-24,19095.460763888896
2022-04-09,42510.1142013888
2022-12-19,16698.83701388889
2022-10-07,19788.782499999972
2023-01-29,23445.43454861109
2023-04-23,27612.675798611075
2023-03-22,28095.255694444426
2023-05-06,29180.95916666664
2023-03-26,27759.505312499943
2022-02-01,38607.05475694445
2022-05-11,30621.803125000115
2022-05-28,28906.82107638886
2023-07-16,30349.62583333332
2022-06-19,19302.159548611107
2022-07-28,23327.72031249997
2023-01-27,23016.665729166678
2022-11-23,16480.26315972223
2022-11-18,16750.55434027783
2022-02-04,38692.51621527764
2023-01-17,21205.165312499994
2023-08-19,26031.9883333333
2022-02-08,43918.65951388876
2023-02-14,21914.10854166666
2022-12-16,17117.74027777778
2022-09-08,19264.67399305551
2023-06-17,26494.503125000032
2022-04-25,39274.98829861113
2022-03-17,40974.37788194453
2022-01-29,37880.413541666734
2023-05-16,27090.952430555535
2022-04-06,44685.78347222225
2023-07-22,29909.05822916668
2022-10-06,20166.03017361115
